wallet,type,rarity,score,final_ranking,token_earned
0x3e576f398f50533e64d790b5806d177de93484bd,#7L,Legendary,6156444,28,94185
0x1287a9a82117c9702aab753cba8d5cabfa5d923a,#1L,Legendary,5979552,29,94185
0xce431f34dfd634e8ed90e54875dd4f9f655c04e7,#6L,Legendary,5958000,30,94185
0x532fd0116eda82c5b3f99e5eb4300fdcb4723d2c,#5L,Legendary,5817630,31,94185
0x9d6ca4d368a1e30847e75886161a98e7c07d929d,#12L,Legendary,5725656,32,94185
0x3b35a91af1db15cc62eb5bd3d2dd413c71019adf,#3L,Legendary,5554266,33,94185
0xfb8576c9a5a1e46d1e4f8984d2464867e705692a,#8L,Legendary,4799895,34,94185
0xafda72864c17ae029b7539a7cf7b83db860b9e9e,#1L,Legendary,4745508,35,94185
0xf2bb28406ed8db7e566b76f35648aa4830f132cc,#7L,Legendary,4657212,36,94185
0x5469a029dbf2138723ed005634f4baa951b2bc8f,#4L,Legendary,4585524,37,94185
0x29a5621aee4fc7866783b0d1b1be8777f5a426c0,#14L,Legendary,4581342,38,94185
0x5d73137c0c03919596e4c3a849d4d2b154896b49,#10L,Legendary,4536252,39,94185
0xd6d88aa34dfba00efcfb564b95bbf20a9c8de545,#3L,Legendary,4277412,40,94185
0xe0a0e9a6e17cf929b2648d6e8eaa516f357f87ea,#6L,Legendary,3889164,41,94185
0x2e687102391a636d917213e47d1c4322a17e20a5,#10L,Legendary,3828534,42,94185
0xf96ec3ebb4ef864ae9971f1c2042a1fd5655be29,#2L,Legendary,3826200,43,94185
0xb625bb7a2fa86b45aef6956a9d2530e2f7b56553,#6L,Legendary,3618360,44,94185
0xcdffaf546cdc7a713dcf031871bb6a1814b6745e,#13L,Legendary,3542940,45,94185
0x064085ff5bf58a05a095345215942a08cdd2a98f,#15L,Legendary,3526290,46,94185
0xd20d80b1a4c62c3ba11d9d701a96d368bf49839f,#8L,Legendary,3480720,47,94185
0x9d7c5b9f4b4aa078a9a5af0c88353a23f3fb415a,#4L,Legendary,3365850,48,94185
0x662a06f8ad9350f3e3f7b59d5b5ee09125724fb2,#10L,Legendary,3207744,49,94185
0x4898ead69d5365f2cdad7c5e873b033ce80453dd,#11L,Legendary,3195150,50,94185
0x3f45d29164cdbc8bc4384c9b5bd4094251996dd6,#14L,Legendary,3188784,51,94185
0xdcca895b4a4bf77ac3138543f784018a4264b788,#2L,Legendary,3173040,52,94185
0x2a79e71c95f2888b2fec20f09a67bd59fc15794b,#3L,Legendary,3172800,53,94185
0x03025b2e8acf9322230c7a154cc9b192bd245100,#11L,Legendary,3083391,54,94185
0x279921b4a64307110ee31cf0b2e79256d7ca9a9c,#5L,Legendary,2946384,55,94185
0x5305b5bc32b08df031b89f1839e173df9d6a9fc6,#6L,Legendary,2878986,56,94185
0xed5c92aac3158e95bf2b46a0cd2c8126f2705088,#9L,Legendary,2438538,57,94185
0xa7a86a1909880d5dd1c0142f4570569c054c7a07,#9L,Legendary,2339349,58,94185
0x5e0c23ae15847340819b484ccdb2aea091095e03,#15L,Legendary,2152416,59,94185
0x1e06a8ddbf0846955eb8db6436235caae81c7ecc,#3L,Legendary,1950840,60,68916
0xf3c07cf169dbdaa35470ead9c01d716e6d322eeb,#12L,Legendary,1944864,61,68916
0x63a3b698988a9aed87c85ae3c976f4cce580aa46,#15L,Legendary,1903128,62,68916
0xa5525d0c26b72cb077efb86ed25f69e3039ce79a,#4L,Legendary,1900476,63,68916
0x089b20d01befad129d1ba8e7a89b3de68ee54ab9,#5L,Legendary,1892436,64,68916
0xacc30724816751f25b11ac573a043cdc2cf21141,#11L,Legendary,1866570,65,68916
0x8c327f8f7b2139e0eeb298e0493117f4b4bf8a6a,#13L,Legendary,1836060,66,68916
0xd8101ab4346906ae5d14b86d9a573d63fd021671,#12L,Legendary,1836060,67,68916
0x353961796d42c3d051d068ff96f95ca78ccca349,#10L,Legendary,1836060,68,68916
0x78e11523949f4e53e7caa92ce1be787b53738260,#2L,Legendary,1836000,69,68916
0x3d0c87e1203c5aba46c854df22a35e5217095e62,#9L,Legendary,1836000,70,68916
0x98abcef4b140165dcde296df486a5d8617885486,#7L,Legendary,1836000,71,68916
0x8c453e4ffec8ae2d70b160b584979d6954ac165c,#6L,Legendary,1836000,72,68916
0xfd591b98b3b6d1184dc10916edbcafef0d57ee78,#11L,Legendary,1836000,73,68916
0x9f6bd68153d985a65c3a45b890baf359afe0c234,#15L,Legendary,1836000,74,68916
0x761e812ce84526f253ff7552f3f1e2482b76dc6e,#14L,Legendary,1836000,75,68916
0xa2de487efd86cd591bf4f304ee319187a0447f00,#12L,Legendary,1690500,76,68916
0x34f2231f1e998ca3d2a7803455ccd7f057e90554,#13L,Legendary,1685100,77,68916
0xb4d16b8e617a482526e15ee29785e10f16ea6ae8,#1L,Legendary,1661532,78,68916
0xefc3a8532095e23e123a61ab2426303ba690e69a,#14L,Legendary,1624380,79,68916
0x16509d819772f468f7329105bd1f3f648abe204c,#1L,Legendary,1527750,80,68916
0x3123973afa313f4deed2f37282e914413a61f42a,#2L,Legendary,1527600,81,68916
0xd3a90aeeced560bdb861cdb0d4adad0d2c52c75e,#2L,Legendary,1429440,82,68916
0x3bf17bcb925b2de02c0a013af676bbd1ac434b9e,#8L,Legendary,1421940,83,68916
0x946ae687f0864e3e6b1f9ad4dbc219338a9bc8ab,#5L,Legendary,1304640,84,68916
0x467ed24cf1d3eb4d5ce10daadf42a1ac9cc69a79,#3L,Legendary,1298760,85,68916
0xd52ceb2cf58c6f4d26ce792009c0bf483aa2f44a,#4L,Legendary,1295766,86,68916
0x80a3ffd87feb4bf747849c189b6b670355f1570e,#3L,Legendary,1075440,87,68916
0xd1bfe162404570736854bf0000ef8308285af1dc,#1L,Legendary,1041960,88,68916
0x37d31be0256f89ca672a7f9bd937fdd98ae79c83,#9L,Legendary,1037076,89,68916
0x06585efc803bb3eeb1b90b39ad925300a898eaed,#2L,Legendary,1029732,90,68916
0x26c506de8f8c54f4ea2254775d7b734fb61aa4fc,#12L,Legendary,1017210,91,68916
0xbd78b60a2b3d4b9e560b51ae6f4ede912310b63b,#10L,Legendary,1015758,92,68916
0x9a3258c88f8f79bd1485e1d37088d300aa1d2904,#2L,Legendary,1005840,93,68916
0xcd2a2c4f5dc9f37e4054b34ce3d8b0c27fe04afe,#8L,Legendary,1003560,94,68916
0x18380baaf08c9b3ce4749724819414e92288a3db,#6L,Legendary,986910,95,68916
0x7c936709fddffd070e698a4cc0b69fd886e5968d,#9L,Legendary,980988,96,68916
0xb47c25eecad957ffa43eb9996da9b6e2af1a71cc,#5L,Legendary,975984,97,68916
0xd0fe96b0bafd862159240d8868ed5edc93c86781,#13L,Legendary,975114,98,68916
0x738be9bd17d7090d167c665b48fe1d50b9471ddf,#6L,Legendary,966744,99,68916
0x9e8a56de4c073cbff7b52f7d03ffb24b4ae46161,#9L,Legendary,966204,100,68916
0x957e790a871b7e0e0d089ef623cea960b5dc9267,#11L,Legendary,951624,101,42697
0x4b06ab89efb5c56219b95dbd7ca78d43528c2255,#14L,Legendary,950406,102,42697
0x482366bf1a4064b833ad4709ecebca67c90c768b,#10L,Legendary,939390,103,42697
0x82706a3bbe64074f9ca383089614d3eaa6a7abe4,#15L,Legendary,932964,104,42697
0x317e436678108fcd7a6cb1b9ab8392ffb59c9a4a,#7L,Legendary,919440,105,42697
0xff679e060158b2b131f71cfac6ed51724b57a2ce,#7L,Legendary,875190,106,42697
0xc30e6cc0a55699f5331fad1328b0c41556d8652c,#2L,Legendary,871926,107,42697
0x11cd53d6776a02c8fb13b3453b7b4fbbb18f90df,#13L,Legendary,863334,108,42697
0xa3b277063d9a44b7b821ae18b4206dfbd519073c,#8L,Legendary,853224,109,42697
0x6dd6c6fa59174a81a5096f6f00b524843e634c8e,#4L,Legendary,846360,110,42697
0xb1b483a4a622bccaf80602207ef88871d91865ca,#12L,Legendary,829182,111,42697
0x6fa0c5113e885628654c9543adfee1793aa26470,#13L,Legendary,817722,112,42697
0x5fd657fd69b59754282efc2e166d264c43b36c47,#1L,Legendary,793380,113,42697
0xe5cea7d7346befbe0e34142fe98c5c957091b429,#4L,Legendary,770202,114,42697
0x1fa2029ec29b060044a995063aad02fa9290e197,#13L,Legendary,763374,115,42697
0xc8b394d458d6bfc1c82c4b18f35162f783393e8f,#14L,Legendary,733068,116,42697
0xa03081d416263249dcfb52c562b71e0658e04ba3,#13L,Legendary,721050,117,42697
0xf038803f38f9db0569c983792ebe0eb93e8e8a05,#9L,Legendary,712020,118,42697
0xa51e3f7e00351085173613ef571fa95250fa8b15,#11L,Legendary,690360,119,42697
0xa6927e56cb6f4745fef28e6035c11bae10c23f20,#3L,Legendary,678120,120,42697
0x43b72cb68a42b180ae3d986f1e753f05f8ceea7b,#5L,Legendary,672864,121,42697
0x3990fd9f2e73a84234970cc96c66fcb55e48e295,#12L,Legendary,664152,122,42697
0x1bbe09d151cc55b2cb99a54bc4952d2df79113dc,#7L,Legendary,662496,123,42697
0x0fd9d8aafda27d20892ecd5f787524ad505185b4,#8L,Legendary,661950,124,42697
0xf1d466dbf1a5d807899d2669ec1db6f518681769,#6L,Legendary,661950,125,42697
0x8c8a0925cfa37e2f5e1d6f2247c62d5e426de111,#6L,Legendary,659184,126,42697
0x02ad1b34327140ae8686b2df56b345aa7ac8c8b9,#15L,Legendary,655668,127,42697
0xfc3cea4e7d3ced0ebabec2c910541d0b90327aaf,#15L,Legendary,651756,128,42697
0x71186965a5c90f54f05c223bcb99223ddb5f80d3,#10L,Legendary,645494,129,42697
0x8d17038ab7a7af0bbf98e40d52f1d3704940ab44,#13L,Legendary,644220,130,42697
0x75d6103cca92eb3410b8d6208dd94ba01adef33e,#3L,Legendary,628230,131,42697
0x4cc4f2a8a472ef2dbfc87d081f6905c4eb6001a8,#15L,Legendary,627270,132,42697
0xcb0a809b071ec8fdc995cb49f17c60a80ddda69c,#2L,Legendary,626310,133,42697
0x36e8e8ae2e568c8e0d45218c075adf5da23317b2,#7L,Legendary,616770,134,42697
0xc594e505d8e71c4227e88da6294f501f73f2f184,#9L,Legendary,612690,135,42697
0x155bce39d71518eeb55a50a6a53ad4d64b7aac64,#14L,Legendary,592620,136,42697
0x4f8668c6df5338059ef643d1ca9094c05de40614,#5L,Legendary,591660,137,42697
0x1b8b2227a759c8b85d8f485e6b49a71c324c6616,#8L,Legendary,590508,138,42697
0xe57b3e069674d0590efc7bebe96db89bd513d54f,#12L,Legendary,588120,139,42697
0x7cc522be3c72682678008a2fb2bffa034155ea1f,#9L,Legendary,585900,140,42697
0x25068e8ac4199678a3f3b662a2e3f079a9f11b31,#11L,Legendary,585900,141,42697
0x6d91b44f428a97f5ffa8d088105e2bdb1a3a570a,#10L,Legendary,585900,142,42697
0xc044b2c457cb8b37676886c78a38e791717d4a03,#8L,Legendary,585900,143,42697
0xb9ebc4be7e68bcc188e093d000e13ea0602bb78b,#7L,Legendary,585900,144,42697
0x7c845182711bbf3b15cc7ae7203347a1704f3872,#6L,Legendary,585900,145,42697
0xd62793f74e3785ba74440e201a1c2d451a851a4c,#4L,Legendary,585900,146,42697
0x2bf798935d2a450e22666b14027d5377fb796d1a,#13L,Legendary,585900,147,42697
0x699f99babbca2f32bc1a6630c3ad644064d97c32,#4L,Legendary,568800,148,42697
0x4468efd28186bf1b37b5de8201b6f0539839813b,#3L,Legendary,568800,149,42697
0x794bc4e51371c8e7c1666d186cada80b581d837f,#5L,Legendary,558900,150,42697
0x08102f98afd4dfb40111d19da0a4280e10763855,#6E,Epic,1520790,151,28803
0x6261d91e6537b2967a630bac5e29736a0380e5e9,#7E,Epic,1284240,152,28803
0x578a4e4a432cffdd270d998da827031c11c6377e,#10E,Epic,1152642,153,28803
0x607dda1dc8c29ea1941913b70f532661fae9c94c,#13E,Epic,1033200,154,28803
0xd3c08ebeb464e868de7a3e7fc940716c2bc2922a,#2E,Epic,977172,155,28803
0x39a60fbbcacdba8916aeab66fa502298f9555a0f,#2E,Epic,898248,156,28803
0xca8b59e341f571802012f8a2dc51c6e3935ed6c3,#3E,Epic,797478,157,28803
0xebc431678336099a826b0d803089c7c7dee2eeab,#3E,Epic,739140,158,28803
0x63fb87f239eb496c2429bc8458c15b6b3703f2a7,#1E,Epic,634284,159,28803
0xf1325523080374b4914d2409249ece2f39cc5e85,#2E,Epic,606720,160,28803
0x8a3a8937c720642cb4ab77aa0fd1ebecc8d1698f,#8E,Epic,492660,161,28803
0x5022cf478c7124d508ab4a304946cb4fa3d9c39e,#13E,Epic,464454,162,28803
0x7f32c25050e4cf26b03ec65f2f2ecaee39037ef7,#9E,Epic,454608,163,28803
0x5d986327fd799f998c693489ba3de45fe831665f,#4E,Epic,446124,164,28803
0xe72b2de9142bbfc60eff2070de089dbc445b1b8a,#11E,Epic,444432,165,28803
0x6f76a14c3bb5a0dd5baccba4f066b98d44a5120d,#12E,Epic,417660,166,28803
0xd525fa0828595f0030235855afd504d732888ad7,#15E,Epic,375270,167,28803
0x6ac93cfe0ad12053784e39ebc85d9dbc9b6c860a,#15E,Epic,365826,168,28803
0xe2a5244541eb48519ac98193ce4df6694c292a0c,#12E,Epic,343608,169,28803
0x2e13b0b4359633b024fc324a15b7e89ee15c9b93,#4E,Epic,340800,170,28803
0x6972e8e450ce743bca1918898a6b0e6a7f816371,#10E,Epic,334494,171,28803
0xd25ffaab36b7258b2983336ab6f63903a84923a8,#3E,Epic,317760,172,28803
0x5ea7b44baf33ebe629f12b15733680cfc3c86b4a,#10E,Epic,306378,173,28803
0x066dd96797fcf09d19044f24da26c27e4c9fbbb1,#12E,Epic,297360,174,28803
0xebfa90e7704adee8d0bc2a10a2e3c81aa5c9b90a,#13E,Epic,297240,175,28803
0xa84447d46905b77a2c24baff237e12cae18577a2,#11E,Epic,292050,176,28803
0xc1be09f8e54d70f063709ad18e10c2f4c301f945,#2E,Epic,291540,177,28803
0xc23abf9c5f2d4df484d6b7c964df0c0159dcbdd8,#12E,Epic,282888,178,28803
0xbfa713a393c9a095c7a1e0d0626b0c2ff7668228,#1E,Epic,280740,179,28803
0x9425571bf6d3b4a039a2bb921ddd301b2f7cadbc,#9E,Epic,273300,180,28803
0x101549825a349ff1a3a63ac1f4f4295fa8af8d25,#1E,Epic,270990,181,28803
0xa0c2b8288343651155d867ceefd1fcdbcfe933b4,#15E,Epic,266730,182,28803
0xf8dc5f19babc5de38945fcb5579a04c5fc352f9f,#9E,Epic,258972,183,28803
0x792fc0caee91a0cce9df9eb931449cd9255c864d,#4E,Epic,251418,184,28803
0xce887ce2310dcc0fbc3b22cc38b663043667eb99,#4E,Epic,239400,185,28803
0x38ac81721419ac782ee8cc8505b4e8fa561f2db4,#8E,Epic,231180,186,28803
0xa518e08e01d6e9a682264435eeb7342b6e400758,#4E,Epic,230400,187,28803
0x3a1bf06b4ff7ed78632506e8829202146f258eeb,#12E,Epic,227520,188,28803
0x0fcbd61a815f379ff37fabf1575f7c0d2c5eacf3,#12E,Epic,206520,189,28803
0xa769df4645278e674b704148540cf214e24cb5bc,#15E,Epic,203016,190,28803
0x90f012331253eda2eecf8f20af875c9bf03b8f65,#2E,Epic,195648,191,28803
0x406d7bc28b3e226e89803212ad979f90eecfd525,#3E,Epic,193920,192,28803
0xad7564ade0228583227e7f082ab8bd0ef0872b64,#6E,Epic,183762,193,28803
0xf214b4f27df6a507be6a0e4355c6a25898927f96,#5E,Epic,161784,194,28803
0xe088b1a101eec01c4d286a09ea27e08510543fe6,#1E,Epic,151578,195,28803
0x5c0a684d43ed71c2c66584e09af12ee13ed453e9,#6E,Epic,150840,196,28803
0x789e7f1db89e6c1e9e4f547e87e1c2a0217ab986,#1E,Epic,149160,197,28803
0xb8a731644a73e6688c17c245ef8cc1ce9297f10b,#13E,Epic,141954,198,28803
0xe3b84986472f7fea21e7f7b447456160b304d2ed,#14E,Epic,141858,199,28803
0xb334c76966ee7d4d38972967e0153366425c68c0,#11E,Epic,140940,200,28803
0xe2820804ba47d99d156ceb4f92f640370fd4cf63,#10E,Epic,138168,201,28803
0x328aacea047afea458293d0d3770cfdad7211d02,#11E,Epic,137610,202,28803
0x4a983bb5c37af9546211d2383344e1627afb5f92,#3E,Epic,137280,203,28803
0xcf33325e39c142539db6fc6a6448192c25a2b9eb,#8E,Epic,137280,204,28803
0x12c9d9e426af63f19bbcc813511e74cba5d7a600,#8E,Epic,137280,205,28803
0x4593c6cf61551b350b30711f1935258cf3913ace,#5E,Epic,135840,206,28803
0x85ca6a137645126540c02dbf6b73b7d673c7f2bf,#4E,Epic,135390,207,28803
0xfeb537dcdc3fb2d6f3466bc8968d225fe1ddab92,#12E,Epic,132450,208,28803
0x1948adf80c98fdc0369645562a026c855ba6015d,#1E,Epic,130752,209,28803
0x70032d6a6d20ce1554a3cf6b7cec5a784d6a00b1,#7E,Epic,130134,210,28803
0xd4e2ae46beeadd5ed0ea5159f2e486357f755017,#15E,Epic,130110,211,28803
0xcec4a63a17093f2f6699c2b10f8ef3d0b375a3b4,#12E,Epic,129960,212,28803
0x7ae55c077681c09666743208ccb80066c4c67ede,#12E,Epic,129696,213,28803
0x1fd0ef2601f60a871013495d3a2f5067c4b8012f,#12E,Epic,129696,214,28803
0x9d03bcd4ca2c5f118cb28e2df59114f260b3ae8a,#12E,Epic,129600,215,28803
0x820c7a59675afd67f48373bb149f12fd9edc802c,#10E,Epic,128130,216,28803
0xd9bbc3b9a4a02a0b7b97d44d76b9aaae17d7d434,#2E,Epic,127680,217,28803
0xd9f5e76ebc2ad247482e9681c06d76d2f0bdd584,#1E,Epic,127680,218,28803
0x709f44c6abedc2cc4a642ea8af442871dd9f39a4,#2E,Epic,127680,219,28803
0xa366e7f78ec9da0c48a1318e3e4b09e2cf35b68a,#12E,Epic,125952,220,28803
0xb1e72c2d98e91751ea4cbdc4afa362b8ad4fea53,#12E,Epic,125952,221,28803
0x2835fd70a9f2ad1ae148272e1a7ccf1f6eaf2003,#11E,Epic,124566,222,28803
0x6e7be676b0bd048124af04f1abd3ac4f46d7db16,#1E,Epic,123696,223,28803
0x137b858f74dfa831c736ed445ac790cc3b165e6b,#3E,Epic,123444,224,28803
0x334c5ce7fee4ab5664de0e0d200a95e8c0d69a3c,#2E,Epic,122496,225,28803
0x25cbe66a9828022d5b8a1d46c2fe0df10e95e77f,#15E,Epic,118080,226,28803
0xe28aeea455a141894de0171612116e0c1c2c1934,#10E,Epic,117276,227,28803
0xcf1a649febc9d4d9a970b71ace0bc29fa9f97f67,#8E,Epic,115620,228,28803
0x6799b6564c7c8aee38800ff53c34362222d2869a,#3E,Epic,115620,229,28803
0x74fc9c6a77735e6af1185ebc61bc6fca94663a3a,#7E,Epic,115200,230,28803
0xf6b68d281df423b86b8f403318dbabb64926771e,#6E,Epic,114840,231,28803
0x642474d7a2d39f775c4b7852f4492a0e84a02f70,#15E,Epic,113700,232,28803
0xccf715745f350a19240b0d63f731bb6f69960cc7,#4E,Epic,111780,233,28803
0xae66b145889231785f5744b96d29264693f1b883,#2E,Epic,111780,234,28803
0x4ce1a07ae7c9c33a713b37d46571437f886aab4b,#3E,Epic,111780,235,28803
0x2ce452c1fa2c6e8d095b2b9728adca98b5c574c1,#13E,Epic,111780,236,28803
0xf3119b0d5531edb539ca601a44bcaf61d31706d1,#14E,Epic,111780,237,28803
0x66219986a481dad5654a5bfbd6a050533991dc7e,#15E,Epic,111780,238,28803
0xd039d8c73bb1864861406ec597d7d8ed3c682495,#15E,Epic,111780,239,28803
0xc63f5ee47296284947b0859bc0c39995d184ee41,#10E,Epic,110760,240,28803
0xa5bcd761c2a920a88bbe16c6d1576fcc70d24b85,#1E,Epic,109440,241,28803
0x694ee79d003cc2600f1e0682a91ab6cbca21df99,#6E,Epic,107496,242,28803
0x7236c97611e9d0e32495a0d502ffa4ef3477dfc5,#3E,Epic,107064,243,28803
0x871695c4c17e7420bfc387003766467c146e0091,#15E,Epic,104700,244,28803
0x249425de640c165536df2407b2ff1c89614a09bc,#15E,Epic,100800,245,28803
0xb3e983c550d5221852d03839e6343444a7c87dad,#14E,Epic,99840,246,28803
0xba3a793dfab9d8c845830a759f9ea084e90301e6,#7E,Epic,98760,247,28803
0x8708f4ccc654943f9e28cd2e63303f6d081bd0a2,#8E,Epic,98160,248,28803
0x9eed9ba9b9298939e0b68ede098204a2bb66fa4c,#4E,Epic,97920,249,28803
0xafec571397379dffbb0622ddbd59b9ad1b254d80,#12E,Epic,97500,250,28803
0xd3c112fb6123b525430ade297ad3396ccef27561,#3E,Epic,96720,251,28803
0xc1fffb511c0a2ad9054b3cc65167168a50fa91c3,#5E,Epic,96480,252,28803
0x5f8b9671575cdf9b665e73a9c219c16ab5e97dc8,#1E,Epic,96390,253,28803
0xfb03ad5cf7a888bf4163a7276b5c662fa5e70691,#10E,Epic,96330,254,28803
0x11d10e4db6ba31bb6aa009d8c17d09d7859bad3c,#4E,Epic,96000,255,28803
0x839271ef8feba0466cea5cfae4daa991c3435e91,#13E,Epic,93576,256,28803
0x37b19d514b6be3d247d897a1416bc3713f12b4f3,#11E,Epic,93240,257,28803
0xced0b1da6c8b2c2cbd7901a4d875c57d4e8c9673,#11E,Epic,92640,258,28803
0xc6af78140f953fa3e275c6e3191cb6913a9d2070,#3E,Epic,92058,259,28803
0xcbed7fb0207d943a45dbaa9bfe2a0b6a5318f407,#4E,Epic,91464,260,14221
0x811892e8509edbb0e8cb4ec6b8fee637ecf48951,#10E,Epic,91080,261,14221
0x6c1b96cd9742fd1cfbf9e97a7fe91b9cc53f4313,#4E,Epic,89922,262,14221
0x554375a6f05af98f6d7d326fde8e431dcc3bff5b,#12E,Epic,89676,263,14221
0x57de99e9d151398ebb827421f777c707a1226edf,#10E,Epic,87378,264,14221
0x872ddf724f2bfb148d2e9cb452cac3c1bcdf76bc,#6E,Epic,86880,265,14221
0xac37a14be089e334f26a23461dbe7ee59a1a48c4,#10E,Epic,86820,266,14221
0xe10ac119b2670fcbd4c60414e6fd04be5a87b554,#9E,Epic,86730,267,14221
0xf8d9739f624816a8d34e8cc16427f0ede1819801,#12E,Epic,85320,268,14221
0x74407f041dae46750dcfa01c42b4130df0e90d7f,#4E,Epic,84540,269,14221
0x81e60134a3d60185cf3c14671b143e4860c61669,#1E,Epic,83520,270,14221
0xbd1da368e82e1a3b53dfac2db11308af1e440193,#7E,Epic,83418,271,14221
0xd65dbcbfd9fb9594e28a09ecac22ba36b74fd183,#12E,Epic,82020,272,14221
0xde548e98848a8bf946deed1057b1e980e54096f9,#13E,Epic,81696,273,14221
0xc787c40bc83c54bffc9464ae3108775c69223667,#6E,Epic,81540,274,14221
0x027ed22646413e17f2c5bc262c4eef4cd960f697,#15E,Epic,81504,275,14221
0xeec0d696c1f320fe05ef6e42a7784bd094f1312d,#14E,Epic,81120,276,14221
0x1a8f37bb5a034571ba50a48dd0ca7aeb251700d9,#11E,Epic,80640,277,14221
0xd47227c8267eb054b50613a3c611119b489cd6a0,#2E,Epic,80088,278,14221
0x87151e06721f52b4fd317a5808ae830d4cece5b3,#4E,Epic,79920,279,14221
0x46121eb4d0e082993b6a67405dab0e44236b1de9,#1E,Epic,79704,280,14221
0x196d344d32a83805cbbe6542455c2a96532bdf52,#4E,Epic,79200,281,14221
0xd8ba07755db8cd89d4549269b76c9a55c149728b,#4E,Epic,79200,282,14221
0x6cd31199fd247c272fc09bc5aa2f79413a5471c2,#8E,Epic,79200,283,14221
0x89d68c8102706ae3e3057bdf27679a8699851b8c,#5E,Epic,79200,284,14221
0x3e679b728e8e305e69d24ca1b3a5d71da4245376,#13E,Epic,79200,285,14221
0xad8929b0cfbaba85ee22680369e404cbd0e8c182,#3E,Epic,79200,286,14221
0x068cfd47ae3e4a96c74b255e02939749434aafba,#6E,Epic,78894,287,14221
0x647d57aa355e8da2395a9aa3400b29132ae78c72,#1E,Epic,78840,288,14221
0x450f8f8b08a90a50caa6a060ffa6274b5498273a,#2E,Epic,78408,289,14221
0x3d8f8d3a957c0d67b2256c096ff7378c50246d0d,#7E,Epic,78300,290,14221
0x10a4864435208685a35a12d201f709ffa8c0fc21,#4E,Epic,78300,291,14221
0x095e2f7d58251f49201d789ba0fad05d4991af2f,#15E,Epic,78240,292,14221
0x6e18bc0e445c09c6848d0c3ec72026f3612a3cb1,#13E,Epic,77640,293,14221
0xcf13cf22bdec8ae15491d7f09412f47882b8472c,#14E,Epic,77196,294,14221
0x33a77c77a7be52c04c5f2ba78e2dd294c53ce3e6,#8E,Epic,76896,295,14221
0x029f2326491ccabd072a703549314e14bef07692,#10E,Epic,76710,296,14221
0x35740736468e68766f1ff2e27117ba673f31b4d6,#13E,Epic,76518,297,14221
0x377beddd6ce2ec002567678c431943f08ba8bbe1,#9E,Epic,76500,298,14221
0xa38344c80a13fecff0bf17080108f01c3aaea056,#10E,Epic,75972,299,14221
0x89b9a1444d5ae687b18b05a2d08ec8d6e7c52ace,#3E,Epic,75840,300,14221
0x5b668822cd6e6e84c4d96758458cc686db4868ac,#10E,Epic,75132,301,14221
0xbb7050e3e255b33b30f27fe03d8fe74975ec6adc,#2E,Epic,74520,302,14221
0xc8652a47211b6a199e0ed0e5a808c0abcc734fd9,#7E,Epic,73980,303,14221
